policy,max_size,clean_size,repeat,step,cluster,prompt,hit,llm_time_s,total_time_s,miss_reason,cache_size
LFU,8,2,0,1,0,Write me a short Python script for a basic calculator,,,230.57552933692932,,
LFU,8,2,0,2,0,Make a simple calculator in python,,,5.628473281860352,,
LFU,8,2,0,3,0,Create a tiny command-line calculator in Python,,,0.17537307739257812,,
LFU,8,2,0,4,0,Give me a minimal calculator example in Python,,,0.18393373489379883,,
LFU,8,2,0,5,1,Hi,,,7.389581680297852,,
LFU,8,2,0,6,1,Hello there!,,,0.07165908813476562,,
LFU,8,2,0,7,1,Hey!,,,0.08020234107971191,,
LFU,8,2,0,8,1,Howdy,,,8.59969186782837,,
LFU,8,2,0,9,2,Best footballer in the world?,,,76.78178763389587,,
LFU,8,2,0,10,2,Who is the top soccer player right now?,,,0.09109377861022949,,
LFU,8,2,0,11,2,Name the greatest football player today,,,0.0928506851196289,,
LFU,8,2,0,12,3,Explain quicksort in simple terms,,,101.39481019973755,,
LFU,8,2,0,13,3,What is the capital of Japan?,,,4.942189931869507,,
LFU,8,2,0,14,3,Summarize the concept of overfitting in ML,,,141.03919982910156,,
LFU,8,2,1,15,0,Write me a short Python script for a basic calculator,,,0.07999515533447266,,
LFU,8,2,1,16,0,Make a simple calculator in python,,,0.1145634651184082,,
LFU,8,2,1,17,0,Create a tiny command-line calculator in Python,,,0.12438654899597168,,
LFU,8,2,1,18,0,Give me a minimal calculator example in Python,,,0.11910247802734375,,
LFU,8,2,1,19,1,Hi,,,0.0682680606842041,,
LFU,8,2,1,20,1,Hello there!,,,0.09100341796875,,
LFU,8,2,1,21,1,Hey!,,,0.08752131462097168,,
LFU,8,2,1,22,1,Howdy,,,0.08181452751159668,,
LFU,8,2,1,23,2,Best footballer in the world?,,,0.06803727149963379,,
LFU,8,2,1,24,2,Who is the top soccer player right now?,,,0.08674168586730957,,
LFU,8,2,1,25,2,Name the greatest football player today,,,0.07474327087402344,,
LFU,8,2,1,26,3,Explain quicksort in simple terms,,,0.08566522598266602,,
LFU,8,2,1,27,3,What is the capital of Japan?,,,0.0819997787475586,,
LFU,8,2,1,28,3,Summarize the concept of overfitting in ML,,,0.12779474258422852,,
LFU,8,2,2,29,0,Write me a short Python script for a basic calculator,,,0.09548211097717285,,
LFU,8,2,2,30,0,Make a simple calculator in python,,,0.07906723022460938,,
LFU,8,2,2,31,0,Create a tiny command-line calculator in Python,,,0.09743857383728027,,
LFU,8,2,2,32,0,Give me a minimal calculator example in Python,,,0.0964057445526123,,
LFU,8,2,2,33,1,Hi,,,0.06102466583251953,,
LFU,8,2,2,34,1,Hello there!,,,0.07671403884887695,,
LFU,8,2,2,35,1,Hey!,,,0.07762622833251953,,
LFU,8,2,2,36,1,Howdy,,,0.07310056686401367,,
LFU,8,2,2,37,2,Best footballer in the world?,,,0.07654142379760742,,
LFU,8,2,2,38,2,Who is the top soccer player right now?,,,0.09043049812316895,,
LFU,8,2,2,39,2,Name the greatest football player today,,,0.10864686965942383,,
LFU,8,2,2,40,3,Explain quicksort in simple terms,,,0.07461023330688477,,
LFU,8,2,2,41,3,What is the capital of Japan?,,,0.08228230476379395,,
LFU,8,2,2,42,3,Summarize the concept of overfitting in ML,,,0.1060190200805664,,
LFU,16,4,0,1,0,Write me a short Python script for a basic calculator,,,100.63701844215393,,
LFU,16,4,0,2,0,Make a simple calculator in python,,,2.118393898010254,,
LFU,16,4,0,3,0,Create a tiny command-line calculator in Python,,,0.11989259719848633,,
LFU,16,4,0,4,0,Give me a minimal calculator example in Python,,,0.08589529991149902,,
LFU,16,4,0,5,1,Hi,,,4.672752618789673,,
LFU,16,4,0,6,1,Hello there!,,,0.0601654052734375,,
LFU,16,4,0,7,1,Hey!,,,0.08592081069946289,,
LFU,16,4,0,8,1,Howdy,,,3.6637134552001953,,
LFU,16,4,0,9,2,Best footballer in the world?,,,72.170982837677,,
LFU,16,4,0,10,2,Who is the top soccer player right now?,,,0.07691597938537598,,
LFU,16,4,0,11,2,Name the greatest football player today,,,0.08319544792175293,,
LFU,16,4,0,12,3,Explain quicksort in simple terms,,,83.06739711761475,,
LFU,16,4,0,13,3,What is the capital of Japan?,,,7.2687482833862305,,
LFU,16,4,0,14,3,Summarize the concept of overfitting in ML,,,100.85445094108582,,
LFU,16,4,1,15,0,Write me a short Python script for a basic calculator,,,2.086326837539673,,
LFU,16,4,1,16,0,Make a simple calculator in python,,,0.11564397811889648,,
LFU,16,4,1,17,0,Create a tiny command-line calculator in Python,,,0.13349080085754395,,
LFU,16,4,1,18,0,Give me a minimal calculator example in Python,,,0.11184835433959961,,
LFU,16,4,1,19,1,Hi,,,0.06700706481933594,,
